DATAH	Record	Date	Time	INPUT3	CHK	
DATA	0000408	2023-11-01	12:45:42	0.0000	 75
DATA	0000409	2023-11-01	12:45:42	0.0000	 76
DATA	0000410	2023-11-01	12:45:42	0.0000	 68
DATA	0000411	2023-11-01	12:45:42	0.0000	 69
DATA	0000412	2023-11-01	12:45:42	0.024877	194
DATA	0000413	2023-11-01	12:45:42	0.023751	185
DATA	0000414	2023-11-01	12:45:42	0.0000	 72
DATA	0000415	2023-11-01	12:45:42	0.0000	 73
DATA	0000416	2023-11-01	12:45:42	0.021049	186
DATA	0000417	2023-11-01	12:45:42	0.0000	 75
DATA	0000418	2023-11-01	12:45:42	0.0000	 76
DATA	0000419	2023-11-01	12:45:42	0.018122	187
DATA	0000420	2023-11-01	12:45:42	0.0000	 69
DATA	0000421	2023-11-01	12:45:42	0.012719	186
DATA	0000422	2023-11-01	12:45:42	0.0086657	247
DATA	0000423	2023-11-01	12:45:42	0.0000	 72
DATA	0000424	2023-11-01	12:45:42	0.0086657	249
DATA	0000425	2023-11-01	12:45:42	0.026003	181
DATA	0000426	2023-11-01	12:45:42	0.0000	 75
DATA	0000427	2023-11-01	12:45:42	0.0000	 76
DATA	0000428	2023-11-01	12:45:42	0.021725	190
DATA	0000429	2023-11-01	12:45:42	0.0000	 78
DATA	0000430	2023-11-01	12:45:42	0.0000	 70
DATA	0000431	2023-11-01	12:45:42	0.010917	185
DATA	0000432	2023-11-01	12:45:42	0.017897	200
DATA	0000433	2023-11-01	12:45:42	0.030281	183
DATA	0000434	2023-11-01	12:45:42	0.020824	186
DATA	0000435	2023-11-01	12:45:42	0.0000	 75
DATA	0000436	2023-11-01	12:45:42	0.0000	 76
DATA	0000437	2023-11-01	12:45:42	0.0091160	238
DATA	0000438	2023-11-01	12:45:42	0.026453	194
DATA	0000439	2023-11-01	12:45:42	0.016096	197
DATA	0000440	2023-11-01	12:45:42	0.0000	 71
DATA	0000441	2023-11-01	12:45:42	0.0000	 72
DATA	0000442	2023-11-01	12:45:42	0.0000	 73
DATA	0000443	2023-11-01	12:45:42	0.029155	192
DATA	0000444	2023-11-01	12:45:42	0.0000	 75
DATA	0000445	2023-11-01	12:45:42	0.00056009	 32
DATA	0000446	2023-11-01	12:45:42	0.0000	 77
DATA	0000447	2023-11-01	12:45:42	0.0000	 78
DATA	0000448	2023-11-01	12:45:42	0.0050632	239
DATA	0000449	2023-11-01	12:45:42	0.0000	 80
DATA	0000450	2023-11-01	12:45:42	0.028254	189
DATA	0000451	2023-11-01	12:45:42	0.0000	 73
DATA	0000452	2023-11-01	12:45:42	0.0068645	247
DATA	0000453	2023-11-01	12:45:42	0.020599	196
DATA	0000454	2023-11-01	12:45:42	0.0000	 76
DATA	0000455	2023-11-01	12:45:42	0.0073148	244
DATA	0000456	2023-11-01	12:45:42	0.022175	191
DATA	0000457	2023-11-01	12:45:42	0.0000	 79
DATA	0000458	2023-11-01	12:45:42	0.025778	205
DATA	0000459	2023-11-01	12:45:42	0.027579	207
DATA	0000460	2023-11-01	12:45:42	0.0079902	244
DATA	0000461	2023-11-01	12:45:42	0.0041626	237
DATA	0000462	2023-11-01	12:45:42	0.0000	 75
DATA	0000463	2023-11-01	12:45:42	0.0000	 76
DATA	0000464	2023-11-01	12:45:42	0.025327	192
DATA	0000465	2023-11-01	12:45:42	0.025327	193
DATA	0000466	2023-11-01	12:45:42	0.0000	 79
DATA	0000467	2023-11-01	12:45:42	0.0000	 80
DATA	0000468	2023-11-01	12:45:42	0.0000	 81
DATA	0000469	2023-11-01	12:45:42	0.0000	 82
DATA	0000470	2023-11-01	12:45:42	0.012493	189
DATA	0000471	2023-11-01	12:45:42	0.00033493	 33
DATA	0000472	2023-11-01	12:45:42	0.0088909	254
DATA	0000473	2023-11-01	12:45:42	0.0000	 77
DATA	0000474	2023-11-01	12:45:42	0.012493	193
DATA	0000475	2023-11-01	12:45:42	0.014295	196
DATA	0000476	2023-11-01	12:45:42	0.022625	193
DATA	0000477	2023-11-01	12:45:42	0.0000	 81
DATA	0000478	2023-11-01	12:45:42	0.019023	193
DATA	0000479	2023-11-01	12:45:42	0.0028117	246
DATA	0000480	2023-11-01	12:45:42	0.024877	199
DATA	0000481	2023-11-01	12:45:42	0.0000	 76
DATA	0000482	2023-11-01	12:45:42	0.0000	 77
DATA	0000483	2023-11-01	12:45:42	0.00056009	 34
DATA	0000484	2023-11-01	12:45:42	0.0000	 79
DATA	0000485	2023-11-01	12:45:42	0.0000	 80
DATA	0000486	2023-11-01	12:45:42	0.016096	199
DATA	0000487	2023-11-01	12:45:42	0.0000	 82
DATA	0000488	2023-11-01	12:45:42	0.0000	 83
DATA	0000489	2023-11-01	12:45:42	0.013394	200
DATA	0000490	2023-11-01	12:45:42	0.0000	 76
DATA	0000491	2023-11-01	12:45:42	0.020599	198
DATA	0000492	2023-11-01	12:45:42	0.0000	 78
