"","Date","rlc_end_time","specimenID","uid","plantID","treatment","temp","rlc_order","rlc_day","run","deltaNPQ","NPQ_Ypoint1","pmax","rETRmax","rETRmaxYpoint1","alpha.1","alpha.2","alpha.3","alpha.4","ek.1","ek.2","ek.3","ek.4"
"85","2023-12-04","11:01:44","Ac134","2023-12-04_Ac134",41,1,28,19,1,2,0.3,"0.327",105.4,100.38,100.38,0.618,0.017,36.191,0,170.5,11.4,15,0
"86","2023-12-04","11:07:33","Ac136","2023-12-04_Ac136",42,1,28,19,1,2,0.481,"0.742",56.62,54.15,54.15,0.571,0.038,15.074,0,99.1,12.8,7.7,0
"87","2023-12-04","11:12:07","Ac138","2023-12-04_Ac138",43,1,28,20,1,2,0.5,"0.581",83.57,80.64,80.64,0.706,0.036,19.409,0,118.4,12.8,9.2,0
"88","2023-12-04","11:16:42","Ac140","2023-12-04_Ac140",44,1,28,20,1,2,0.319,"0.361",87.24,86.1,83.16,0.574,0.01,55.787,0,151.9,6.3,24.1,0
"89","2023-12-04","11:21:35","Ac141","2023-12-04_Ac141",45,0,24,21,1,2,0.467,"0.575",66.37,65.1,65.1,0.57,0.022,25.569,0,116.5,9.5,12.3,0
"90","2023-12-04","11:26:34","Ac143","2023-12-04_Ac143",46,0,24,21,1,2,0.404,"0.487",61.08,60.06,60.06,0.527,0.025,20.867,0,115.9,11.6,10,0
"91","2023-12-04","11:31:27","Ac145","2023-12-04_Ac145",47,0,24,22,1,2,0.466,"0.627",88.95,84.42,84.42,0.632,0.022,28.237,0,140.6,11.2,12.6,0
"92","2023-12-04","11:36:09","Ac147","2023-12-04_Ac147",48,0,24,22,1,2,0.731,"0.885",66.07,63.55,63.55,0.781,0.043,17.963,0,84.6,8.6,9.8,0
"93","2023-12-04","11:40:56","Ac142","2023-12-04_Ac142",45,1,24,23,1,2,0.331,"0.394",97.05,92.82,92.82,0.611,0.011,54.041,0,158.7,6.9,23,0
"94","2023-12-04","11:45:30","Ac144","2023-12-04_Ac144",46,1,24,23,1,2,0.434,"0.531",60.26,57.96,57.96,0.443,0.02,22.386,0,135.9,13.4,10.1,0
"95","2023-12-04","11:49:58","Ac146","2023-12-04_Ac146",47,1,24,24,1,2,0.455,"0.569",64.87,62.98,62.98,0.576,0.026,22.483,0,112.5,10.3,10.9,0
"96","2023-12-04","11:54:30","Ac148","2023-12-04_Ac148",48,1,24,24,1,2,0.55,"0.669",92.26,88.62,88.62,0.558,0.03,18.509,0,165.2,21.3,7.8,0
"97","2023-11-20","8:09:54","Ac19","2023-11-20_Ac19",10,0,28,1,5,1,0.473,"0.818",37.1,39.05,39.05,0.547,0.028,19.578,0,67.8,5.8,11.7,0
"98","2023-11-20","8:14:46","Ac17","2023-11-20_Ac17",9,0,28,1,5,1,0.385,"0.571",51.1,51.66,49.56,0.592,0.018,33.552,0,86.2,4.7,18.2,0
"99","2023-11-20","8:19:24","Ac23","2023-11-20_Ac23",12,0,28,2,5,1,0.27,"0.306",23.89,25.46,25.46,0.403,0.058,6.974,0,59.3,13.4,4.4,0
"100","2023-11-20","8:24:27","Ac21","2023-11-20_Ac21",11,0,28,2,5,1,0.579,"0.931",48.75,46.93,46.93,0.679,0.06,11.368,0,71.7,10.8,6.7,0
"101","2023-11-20","8:29:31","Ac20","2023-11-20_Ac20",10,1,28,3,5,1,0.274,"0.323",44.4,43.89,43.89,0.509,0.023,22.52,0,87.3,7.2,12.1,0
"102","2023-11-20","8:34:20","Ac18","2023-11-20_Ac18",9,1,28,3,5,1,0.244,"0.315",50.94,53.3,49.98,0.476,0.012,39.514,0,107,5.5,19.6,0
"103","2023-11-20","8:39:03","Ac24","2023-11-20_Ac24",12,1,28,4,5,1,0.41,"0.641",61.6,63.14,58.14,0.602,0.012,52.038,0,102.3,3.9,26.3,0
"104","2023-11-20","8:44:07","Ac22","2023-11-20_Ac22",12,1,28,4,5,1,0.347,"0.773",30.94,31.07,31.07,0.643,0.055,11.638,0,48.1,6,8.1,0
"105","2023-11-20","8:48:38","Ac27","2023-11-20_Ac27",14,0,24,5,5,1,0.593,"0.79",66.75,65.94,65.94,0.69,0.039,17.697,0,96.7,10.6,9.1,0
"106","2023-11-20","8:54:17","Ac25","2023-11-20_Ac25",13,0,24,5,5,1,0.596,"0.995",67.26,64.78,62.58,0.55,0.024,23.105,0,122.4,11.3,10.9,0
"107","2023-11-20","8:59:51","Ac31","2023-11-20_Ac31",16,0,24,6,5,1,0.54,"0.853",49.37,47.6,47.6,0.616,0.059,10.355,0,80.2,13.9,5.8,0
"108","2023-11-20","9:05:03","Ac29","2023-11-20_Ac29",15,0,24,6,5,1,0.329,"0.424",60.49,58.8,58.8,0.512,0.021,24.599,0,118.1,10.1,11.7,0
"109","2023-11-20","9:09:39","Ac28","2023-11-20_Ac28",14,1,24,7,5,1,0.437,"0.621",63.6,60.06,60.06,0.575,0.026,21.88,0,110.6,10.3,10.7,0
"110","2023-11-20","9:15:11","Ac26","2023-11-20_Ac26",13,1,24,7,5,1,0.366,"0.536",68.49,65.94,65.94,0.602,0.026,22.748,0,113.7,10.3,11,0
"111","2023-11-20","9:19:48","Ac32","2023-11-20_Ac32",13,1,24,8,5,1,0.354,"0.492",48.43,47.88,47.88,0.544,0.032,17.176,0,89.1,9.7,9.2,0
"112","2023-11-20","9:25:11","Ac30","2023-11-20_Ac30",15,1,24,8,5,1,0.484,"0.575",86.67,81.06,81.06,0.673,0.026,26.242,0,128.8,10.6,12.1,0
